"Year","Quantity","Value","FOB"
1992,125440,314539,2507
1993,123147,303946,2468
1994,83028,262934,3167
1995,52533,171981,3274
1996,42531,137632,3236
1997,30960,114114,3686
1998,16136,94332,5846
1999,25469,111910,4394
2000,11408,32838,2879
2001,16244,56733,3493
2002,21109,110239,5222
2003,13061,82458,6313
2004,9377,52276,5575
2005,9249,50259,5434
2006,13512,75992,5624
2007,17927,116286,6487
2008,7634,60176,7883
2009,14390,130419,9063
2010,23708,273441,11534
2011,25439,255351,10038
2012,47705,399373,8372
2013,42926,359220,8368
2014,93557,958859,10249
2015,71291,881512,12365
2016,91090,1147221,12594
2017,145294,1351885,9304
2018,155572,1426805,9171
2019,110892,1075375,9697
2020,95556,1018730,10661
2021,104461,1159929,11104
2022,108423,1150211,10609
