"Year","Quantity","Value","CIF"
1992,1829,3967,2169
1993,2341,5859,2502
1994,11353,35164,3097
1995,39704,123737,3117
1996,22142,72538,3276
1997,37127,145324,3914
1998,57198,345436,6039
1999,59061,239491,4055
2000,106701,292410,2740
2001,114475,356600,3115
2002,99192,545424,5499
2003,234773,1076554,4586
2004,244216,1292229,5291
2005,304369,1480746,4865
2006,403911,2145281,5311
2007,438956,2703434,6159
2008,523926,3926528,7494
2009,302270,2705878,8952
2010,319441,3121439,9772
2011,327084,3083055,9426
2012,339011,2712163,8000
2013,311608,2408632,7730
2014,298524,2997844,10042
2015,222134,2692806,12122
2016,213841,2713135,12688
2017,311569,3001364,9633
2018,345489,3181343,9208
2019,351493,3424713,9743
2020,384682,4088493,10628
2021,478787,5010786,10466
2022,459400,4701444,10234
